#{"t_start": 1763997017.1833255, "env_id": "None"}
r,l,t
-54.0,47,383.199797
6.0,107,384.24319
-54.0,47,384.677574
-54.0,47,385.128776
8.0,109,386.20822
-54.0,47,386.665097
8.0,109,387.784665
7.0,108,399.435111
6.0,107,400.534363
11.0,112,401.616472
-54.0,47,402.077527
8.0,109,403.204418
6.0,107,404.284538
8.0,109,405.403878
-55.0,46,405.844269
-54.0,47,406.266924
-54.0,47,406.759487
6.0,107,407.836771
7.0,108,408.930922
-54.0,47,409.37637
6.0,107,410.427037
6.0,107,411.474243
8.0,109,412.624651
10.0,111,413.70986
8.0,109,414.810009
8.0,109,415.935546
8.0,109,417.027663
8.0,109,418.096195
9.0,110,419.217358
-55.0,46,430.379253
-54.0,47,430.867117
8.0,109,431.984851
-54.0,47,432.492104
-54.0,47,432.973623
8.0,109,434.066773
8.0,109,435.295792
6.0,107,436.451291
8.0,109,437.631068
9.0,110,438.73845
-54.0,47,439.212029
8.0,109,440.325623
9.0,110,441.407172
-54.0,47,441.863554
-54.0,47,442.322453
5.0,106,443.380082
-54.0,47,443.836807
8.0,109,444.962126
8.0,109,446.06755
-54.0,47,446.578794
7.0,108,447.710292
8.0,109,448.780385
9.0,110,449.805216
-54.0,47,450.2555
-54.0,47,450.733649
6.0,107,462.690413
-54.0,47,463.160775
6.0,107,464.239438
9.0,110,465.359892
59.0,160,466.993022
-55.0,46,467.464761
-55.0,46,467.94146
6.0,107,469.01041
6.0,107,470.048112
-54.0,47,470.55202
-54.0,47,471.051092
-54.0,47,471.541342
-54.0,47,472.022247
-54.0,47,472.51074
-54.0,47,472.973656
5.0,106,474.066384
-54.0,47,474.592809
-54.0,47,475.095904
-54.0,47,475.560683
6.0,107,476.676644
6.0,107,477.815577
5.0,106,478.846648
-54.0,47,479.335113
7.0,108,480.55254
8.0,109,481.636919
8.0,109,482.813978
