#{"t_start": 1767376709.5581658, "env_id": "None"}
r,l,t
65.0,166,178.28799
-47.0,54,178.472534
4.0,105,178.845654
4.0,105,179.166267
-55.0,46,179.308536
5.0,106,179.681101
-51.0,50,183.499699
-54.0,47,183.661213
-46.0,55,183.819575
-53.0,48,183.975129
-47.0,54,184.163129
5.0,106,184.498761
-46.0,55,184.708622
69.0,170,185.301751
-53.0,48,185.478611
4.0,105,185.79734
-55.0,46,185.959012
-55.0,46,186.118634
-46.0,55,186.297571
-54.0,47,186.464496
61.0,162,186.964392
10.0,111,187.360183
9.0,110,187.667673
-46.0,55,187.824636
-51.0,50,187.981844
-49.0,52,188.166018
-55.0,46,188.289768
2.0,103,188.611084
-55.0,46,188.773971
63.0,164,189.288371
-54.0,47,189.511098
70.0,171,190.136278
2.0,103,194.625407
-54.0,47,194.772574
-52.0,49,194.959965
7.0,108,195.379328
-55.0,46,195.536614
70.0,171,196.142321
-55.0,46,196.282884
270.0,371,197.533693
-54.0,47,197.732076
62.0,163,198.280022
-55.0,46,198.45228
118.0,219,199.230053
-46.0,55,199.389729
11.0,112,199.725661
62.0,163,200.204821
61.0,162,200.735691
-54.0,47,200.900532
4.0,105,201.225465
-52.0,49,204.652194
-54.0,47,204.795305
-51.0,50,204.940285
-55.0,46,205.081248
-55.0,46,205.221118
10.0,111,205.562062
226.0,327,206.758201
120.0,221,207.473125
4.0,105,207.833143
-52.0,49,207.991779
61.0,162,208.495293
68.0,169,209.011435
-55.0,46,209.136478
-49.0,52,209.293768
4.0,105,209.644163
10.0,111,210.062447
-54.0,47,210.210755
64.0,165,210.751154
-50.0,51,210.924314
-53.0,48,211.097215
-55.0,46,211.277766
59.0,160,215.110722
-54.0,47,215.251437
-55.0,46,215.402996
-54.0,47,215.540426
-55.0,46,215.697559
3.0,104,216.008578
-54.0,47,216.155169
14.0,115,216.557758
-54.0,47,216.731755
5.0,106,217.069659
-51.0,50,217.238364
-55.0,46,217.380172
3.0,104,217.693373
-55.0,46,217.832653
-55.0,46,217.975486
4.0,105,218.314535
-55.0,46,218.478312
-54.0,47,218.607987
-54.0,47,218.784142
-55.0,46,218.948207
-54.0,47,219.097292
-54.0,47,219.247329
-55.0,46,219.393649
13.0,114,219.7704
-50.0,51,219.914317
-55.0,46,220.060778
5.0,106,220.389367
9.0,110,220.742337
-54.0,47,220.895655
65.0,166,225.066194
-54.0,47,225.191179
-51.0,50,225.349131
69.0,170,225.951013
13.0,114,226.864303
71.0,172,227.453604
-49.0,52,227.623557
7.0,108,227.959042
-46.0,55,228.195515
3.0,104,228.512255
-49.0,52,228.678971
8.0,109,229.098733
-46.0,55,229.260929
122.0,223,230.013814
4.0,105,230.377043
-54.0,47,230.534307
6.0,107,230.979484
116.0,217,231.65989
-46.0,55,231.851616
5.0,106,232.21143
7.0,108,236.239452
-46.0,55,236.423283
62.0,163,236.966398
-55.0,46,237.088419
-46.0,55,237.251445
-54.0,47,237.409615
-47.0,54,237.564156
-49.0,52,237.712743
-53.0,48,237.870513
-46.0,55,238.038507
-47.0,54,238.198999
-54.0,47,238.362342
-53.0,48,238.503313
-46.0,55,238.723426
171.0,272,239.587205
-49.0,52,239.777035
-55.0,46,239.935776
-49.0,52,240.111294
63.0,164,240.629249
9.0,110,241.037077
15.0,116,241.44355
-55.0,46,241.584565
-51.0,50,241.762128
-54.0,47,241.90099
70.0,171,242.495998
-50.0,51,242.656842
-55.0,46,246.559693
-45.0,56,246.749752
-52.0,49,246.929989
-50.0,51,247.140673
-53.0,48,247.30739
-51.0,50,247.46654
62.0,163,248.006148
-48.0,53,248.179326
-50.0,51,248.324147
-54.0,47,248.451169
64.0,165,249.022827
-54.0,47,249.168985
-55.0,46,249.407695
-51.0,50,249.551334
-47.0,54,249.74196
-54.0,47,249.899774
-55.0,46,250.073807
-55.0,46,250.236638
-51.0,50,250.388829
-48.0,53,250.607486
-55.0,46,250.762393
-53.0,48,250.905328
-49.0,52,251.064033
63.0,164,251.552484
11.0,112,251.908701
3.0,104,252.229162
-52.0,49,252.388073
9.0,110,252.750098
68.0,169,256.934742
-54.0,47,257.091332
-52.0,49,257.257125
116.0,217,258.120926
4.0,105,258.519369
4.0,105,258.913745
-54.0,47,259.634377
59.0,160,260.231047
120.0,221,261.067439
4.0,105,261.494744
59.0,160,262.027471
7.0,108,262.362744
-54.0,47,262.529247
-45.0,56,262.733284
62.0,163,263.272422
-50.0,51,263.448925
14.0,115,263.888405
117.0,218,264.575673
-47.0,54,264.752853
-48.0,53,268.47328
13.0,114,268.927269
-54.0,47,269.088665
-49.0,52,269.239068
329.0,430,270.635344
-46.0,55,270.857174
-49.0,52,271.051494
-49.0,52,271.252307
7.0,108,271.602752
-51.0,50,271.766024
6.0,107,272.122361
-55.0,46,272.281058
177.0,278,273.235461
63.0,164,273.754839
-50.0,51,273.913835
-51.0,50,274.095023
-46.0,55,274.279796
-54.0,47,274.460055
-55.0,46,274.609602
-54.0,47,274.745843
-54.0,47,274.930648
4.0,105,278.85719
-54.0,47,279.001817
-55.0,46,279.145383
-53.0,48,279.294265
-46.0,55,279.467518
-54.0,47,279.627098
-54.0,47,279.77659
9.0,110,280.168808
62.0,163,280.744842
-55.0,46,280.900925
-54.0,47,281.088742
-54.0,47,281.266492
177.0,278,282.208351
65.0,166,282.735513
-53.0,48,282.880374
-55.0,46,283.034629
-45.0,56,283.217175
66.0,167,283.775169
-51.0,50,283.976802
-50.0,51,284.140907
-45.0,56,284.306048
62.0,163,284.843386
12.0,113,285.236457
4.0,105,285.562764
59.0,160,289.749888
-50.0,51,289.915446
4.0,105,290.243839
4.0,105,290.587319
-48.0,53,290.839403
9.0,110,291.245548
-46.0,55,291.460661
-54.0,47,291.598338
-54.0,47,291.738009
-55.0,46,292.423056
176.0,277,293.295369
6.0,107,293.672686
115.0,216,294.321207
-54.0,47,294.484516
-47.0,54,294.660222
6.0,107,295.032355
-54.0,47,295.181119
179.0,280,296.148369
7.0,108,296.506104
-49.0,52,296.690332
-47.0,54,300.436559
-54.0,47,300.574487
175.0,276,301.539088
-46.0,55,301.728513
-55.0,46,301.85255
4.0,105,302.167625
-47.0,54,302.3581
-51.0,50,302.503797
-54.0,47,302.650466
171.0,272,303.461403
4.0,105,303.840637
59.0,160,304.36732
64.0,165,304.952623
63.0,164,305.456671
-54.0,47,305.602588
13.0,114,305.980097
-51.0,50,306.143497
3.0,104,306.485359
224.0,325,311.18452
117.0,218,311.855306
-54.0,47,312.003982
-46.0,55,312.165023
9.0,110,312.51294
117.0,218,313.265729
69.0,170,313.824794
-48.0,53,313.99032
6.0,107,314.343138
-54.0,47,314.501201
-54.0,47,314.650963
-46.0,55,314.837841
4.0,105,315.16614
4.0,105,315.553276
-54.0,47,315.692975
59.0,160,316.222451
5.0,106,316.557729
-54.0,47,316.739455
-55.0,46,316.885119
63.0,164,321.045764
-47.0,54,321.231375
-55.0,46,321.365792
-46.0,55,321.560045
62.0,163,322.094398
-52.0,49,322.239721
-55.0,46,322.389587
69.0,170,322.879376
63.0,164,323.369061
-54.0,47,323.566467
62.0,163,324.083484
-55.0,46,324.20946
6.0,107,324.561764
9.0,110,325.458853
118.0,219,326.190825
118.0,219,326.987206
-51.0,50,327.193222
3.0,104,327.507121
178.0,279,332.118061
10.0,111,332.476849
280.0,381,333.691691
